Grasp Index,Gripper Position,SSIM1,SSIM2
1,750,0.9919207314515839,0.9580418897520177
1,740,0.9907216773953156,0.9592463621372768
1,730,0.9896580506947863,0.959405038
1,720,0.9889542263411422,0.960012315
1,710,0.9892052587288556,0.9561125714615272
1,700,0.9882804660724672,0.9593225698328155
1,690,0.9897919146795087,0.9583277527477833
1,680,0.9906515121332559,0.9580344586380992
1,670,0.9900294740444371,0.9577358955777727
1,660,0.9903055492134732,0.957663334
1,650,0.9906103153879232,0.9576300191824603
1,640,0.9885291372334493,0.9578337591597039
1,630,0.9886903239292149,0.959779916
1,620,0.9907118555300364,0.9550744702227603
1,610,0.9894191107883077,0.9582404477634194
1,600,0.9887885869056352,0.9558644673147988
1,590,0.9890971765868128,0.9592683414500404
1,580,0.9879072697965131,0.9577390338209648
1,570,0.9900327569373535,0.9571469551578764
1,560,0.9889558762371733,0.955937359
1,550,0.9887416866671354,0.9583340197943404
1,540,0.9887555177797379,0.9575278972273767
1,530,0.9891205588918826,0.9578175820952852
1,520,0.9888529832228312,0.9582412141207651
1,510,0.9893560194605022,0.9567766926416724
1,500,0.9901224922901111,0.9579122857216319
1,490,0.9884651572130282,0.9558538601672877
1,480,0.9885569454512695,0.9568553708106905
1,470,0.989115032,0.9585993782453179
1,460,0.9894220585607971,0.9595964450080716
1,450,0.9890655305814356,0.9561215417369218
1,440,0.9875934301138761,0.9480381850518012
1,430,0.9892329535176234,0.935790265
1,420,0.9899476721933097,0.9209389915893266
1,410,0.9877960072796195,0.895825823
1,400,0.9886792531487639,0.8745092594256025
1,390,0.9843756751054739,0.8225477743908901
1,380,0.9740599083174714,0.7962870127409559
1,370,0.9603477360145265,0.7707943685637394
1,360,0.9354064326167489,0.7325555162561559
1,350,0.9031674613321019,0.6889873948539982
1,340,0.8663707784580081,0.6488572709420674
1,330,0.8269855158651813,0.6135973902170466
1,320,0.7886823953420782,0.5726632593934617
1,310,0.7527981724620626,0.5374776873378875
1,300,0.7197899713716691,0.505287466
1,290,0.6908783560897329,0.47548877925360294
